year,id,marital,hrs1,conrinc,childs,meovrwrk,hlthdep
2018.0,129,married,50.0,31545.0,2.0,agree,
2018.0,130,never married,40.0,112160.0,1.0,,
2018.0,131,married,,,4.0,strongly agree,
2018.0,132,married,,,1.0,disagree,
2018.0,133,married,40.0,98140.0,3.0,agree,
2018.0,134,married,40.0,112160.0,2.0,,
2018.0,135,married,55.0,84120.0,0.0,agree,
2018.0,136,never married,40.0,,0.0,agree,
2018.0,137,never married,,6309.0,0.0,disagree,
2018.0,138,married,55.0,31545.0,0.0,,
2018.0,139,married,40.0,6309.0,2.0,agree,
2018.0,140,never married,6.0,7886.249999999999,0.0,disagree,
2018.0,141,divorced,40.0,31545.0,2.0,,
2018.0,142,married,22.0,6309.0,0.0,,
2018.0,143,divorced,,,0.0,agree,
2018.0,144,never married,,,0.0,disagree,
2018.0,145,divorced,65.0,47317.5,3.0,neither agree nor disagree,
2018.0,146,never married,45.0,,0.0,disagree,
2018.0,147,never married,,47317.5,0.0,disagree,
2018.0,148,never married,40.0,9638.75,0.0,disagree,
2018.0,149,never married,,,0.0,strongly agree,
2018.0,150,separated,40.0,70100.0,2.0,disagree,
2018.0,151,never married,40.0,47317.5,0.0,,
2018.0,152,separated,,,4.0,,
2018.0,153,never married,,,1.0,agree,
2018.0,154,separated,40.0,13143.75,4.0,,
2018.0,155,never married,32.0,31545.0,0.0,neither agree nor disagree,
2018.0,156,married,40.0,1402.0,4.0,,
2018.0,157,separated,52.0,19277.5,4.0,strongly disagree,
2018.0,158,never married,30.0,4556.5,0.0,disagree,
2018.0,159,married,40.0,5257.5,5.0,neither agree nor disagree,
2018.0,160,separated,50.0,9638.75,3.0,agree,
2018.0,161,never married,,,0.0,,
2018.0,162,never married,,,0.0,disagree,
2018.0,163,married,45.0,26287.5,2.0,disagree,
2018.0,164,married,,,2.0,,
2018.0,165,married,,,4.0,agree,
2018.0,166,never married,,,1.0,neither agree nor disagree,
2018.0,167,never married,45.0,,0.0,,
2018.0,168,never married,6.0,,0.0,agree,
2018.0,169,never married,53.0,38555.0,0.0,,
2018.0,170,married,42.0,38555.0,3.0,disagree,
2018.0,171,never married,45.0,5257.5,0.0,,
2018.0,172,married,30.0,19277.5,1.0,strongly agree,
2018.0,173,divorced,40.0,31545.0,0.0,,
2018.0,174,never married,,,0.0,agree,
2018.0,175,married,60.0,182695.90984,2.0,,
2018.0,176,married,,,2.0,disagree,
2018.0,177,married,40.0,112160.0,3.0,disagree,
2018.0,178,separated,60.0,98140.0,0.0,,
2018.0,179,never married,43.0,57832.5,0.0,agree,
2018.0,180,never married,,,1.0,disagree,
2018.0,181,never married,20.0,,0.0,,
2018.0,182,divorced,,,4.0,agree,
2018.0,183,never married,50.0,47317.5,0.0,agree,
2018.0,184,never married,50.0,57832.5,0.0,agree,
2018.0,185,divorced,72.0,98140.0,1.0,agree,
2018.0,186,never married,,1402.0,0.0,,
2018.0,187,divorced,,70100.0,3.0,strongly agree,
2018.0,188,married,60.0,70100.0,2.0,agree,
2018.0,189,never married,,,0.0,,
2018.0,190,never married,60.0,47317.5,1.0,disagree,
2018.0,191,divorced,60.0,84120.0,3.0,,
2018.0,192,widowed,,,4.0,,
2018.0,193,divorced,,,1.0,disagree,
2018.0,194,married,40.0,38555.0,1.0,agree,
2018.0,195,married,,,1.0,strongly agree,
2018.0,196,never married,45.0,70100.0,0.0,neither agree nor disagree,
2018.0,197,divorced,40.0,16648.75,3.0,disagree,
2018.0,198,married,35.0,16648.75,4.0,agree,
2018.0,199,married,40.0,47317.5,3.0,,
2018.0,200,married,10.0,7886.249999999999,3.0,agree,
2018.0,201,never married,60.0,57832.5,0.0,disagree,
2018.0,202,never married,,98140.0,0.0,agree,
2018.0,203,married,,,2.0,,
2018.0,204,married,,,5.0,disagree,
2018.0,205,married,,,2.0,,
2018.0,206,widowed,,,1.0,neither agree nor disagree,
2018.0,207,married,48.0,38555.0,3.0,disagree,
2018.0,208,married,,,2.0,disagree,
2018.0,209,married,40.0,,0.0,,
2018.0,210,never married,,,0.0,neither agree nor disagree,
2018.0,211,divorced,,,2.0,,
2018.0,212,married,54.0,84120.0,2.0,agree,
2018.0,213,divorced,,,2.0,neither agree nor disagree,
2018.0,214,never married,,,0.0,agree,
2018.0,215,married,,,1.0,,
2018.0,216,married,30.0,13143.75,2.0,strongly disagree,
2018.0,217,widowed,,,1.0,,
2018.0,218,married,40.0,3855.5,1.0,agree,
2018.0,219,separated,,,5.0,agree,
2018.0,220,married,45.0,26287.5,1.0,,
2018.0,221,married,35.0,57832.5,2.0,,
2018.0,222,married,8.0,,2.0,,
2018.0,223,married,30.0,,3.0,agree,
2018.0,224,never married,40.0,26287.5,0.0,,
2018.0,225,divorced,16.0,6309.0,5.0,agree,
2018.0,226,never married,30.0,7886.249999999999,2.0,agree,
2018.0,227,married,,13143.75,8.0,strongly agree,
2018.0,228,never married,20.0,26287.5,0.0,,
2018.0,229,separated,,,4.0,strongly agree,
2018.0,230,never married,25.0,,1.0,strongly disagree,
2018.0,231,divorced,70.0,6309.0,1.0,,
2018.0,232,divorced,40.0,47317.5,2.0,disagree,
2018.0,233,married,60.0,,3.0,,
2018.0,234,married,,,0.0,disagree,
2018.0,235,married,40.0,26287.5,0.0,,
2018.0,236,married,50.0,57832.5,0.0,neither agree nor disagree,
