year,id,marital,hrs1,conrinc,childs,meovrwrk
year,id,marital,hrs1,conrinc,childs,meovrwrk
1994,535,married,60.0,117585.0,2.0,agree
1994,539,married,25.0,32273.0,4.0,agree
1994,540,never married,55.0,10562.0,0.0,agree
1994,541,never married,19.0,587.0,0.0,agree
1994,543,married,38.0,117585.0,2.0,agree
1994,544,married,18.0,6455.0,2.0,neither agree nor disagree
1994,553,never married,36.0,16137.0,2.0,agree
1994,555,married,4.0,10562.0,3.0,neither agree nor disagree
1994,561,married,42.0,44009.0,2.0,strongly agree
1994,566,never married,50.0,27872.0,0.0,disagree
1994,567,never married,6.0,587.0,0.0,disagree
1994,573,widowed,22.0,10562.0,1.0,disagree
1994,575,married,55.0,587.0,2.0,agree
1994,576,widowed,10.0,24938.0,7.0,agree
1994,584,separated,62.0,52811.0,2.0,disagree
1994,585,never married,50.0,22004.0,0.0,agree
1994,586,married,24.0,10562.0,0.0,neither agree nor disagree
1994,588,never married,40.0,5281.0,1.0,neither agree nor disagree
1994,590,never married,25.0,13203.0,0.0,agree
1994,593,never married,80.0,16137.0,0.0,disagree
1994,595,married,70.0,52811.0,2.0,agree
1994,597,never married,60.0,8802.0,0.0,agree
1994,598,never married,30.0,13203.0,0.0,neither agree nor disagree
1994,602,never married,40.0,19071.0,0.0,agree
1994,609,widowed,45.0,44009.0,1.0,neither agree nor disagree
1994,612,widowed,40.0,19071.0,6.0,disagree
1994,613,widowed,16.0,13203.0,5.0,agree
1994,616,never married,60.0,38141.0,0.0,strongly disagree
1994,619,separated,40.0,19071.0,4.0,disagree
1994,623,never married,40.0,22004.0,0.0,agree
1994,625,divorced,40.0,4107.0,0.0,agree
1994,627,never married,24.0,2347.0,0.0,neither agree nor disagree
1994,629,never married,40.0,16137.0,0.0,neither agree nor disagree
1994,634,married,40.0,16137.0,1.0,neither agree nor disagree
1994,635,married,40.0,19071.0,0.0,strongly agree
1994,639,never married,40.0,4107.0,0.0,strongly agree
1994,641,married,32.0,52811.0,0.0,agree
1994,642,divorced,50.0,38141.0,0.0,neither agree nor disagree
1994,643,divorced,45.0,38141.0,2.0,disagree
1994,649,separated,40.0,38141.0,4.0,neither agree nor disagree
1994,650,married,40.0,32273.0,0.0,neither agree nor disagree
1994,651,never married,45.0,79216.0,1.0,agree
1994,654,never married,48.0,52811.0,0.0,strongly disagree
1994,657,never married,40.0,4107.0,3.0,agree
1994,658,married,40.0,27872.0,1.0,agree
1994,671,never married,40.0,52811.0,0.0,disagree
1994,675,never married,40.0,32273.0,2.0,disagree
1994,676,never married,40.0,117585.0,0.0,agree
1994,680,never married,13.0,5281.0,0.0,neither agree nor disagree
1994,683,never married,30.0,16137.0,0.0,neither agree nor disagree
1994,687,separated,56.0,38141.0,0.0,disagree
1994,688,never married,40.0,24938.0,0.0,agree
1994,696,married,38.0,32273.0,2.0,agree
1994,699,married,60.0,27872.0,2.0,disagree
1994,701,married,50.0,24938.0,2.0,neither agree nor disagree
1994,712,married,78.0,32273.0,3.0,disagree
1994,718,divorced,40.0,19071.0,2.0,agree
1994,719,married,40.0,27872.0,3.0,strongly agree
1994,724,married,60.0,117585.0,2.0,strongly agree
1994,738,never married,55.0,64546.0,0.0,agree
1994,744,married,18.0,44009.0,1.0,neither agree nor disagree
1994,745,divorced,47.0,32273.0,1.0,agree
1994,750,married,40.0,5281.0,2.0,agree
1994,754,married,24.0,32273.0,4.0,disagree
1994,756,never married,45.0,24938.0,0.0,disagree
1994,760,never married,43.0,79216.0,0.0,neither agree nor disagree
1994,761,married,55.0,16137.0,0.0,agree
1994,764,divorced,40.0,32273.0,4.0,agree
1994,769,married,26.0,27872.0,2.0,agree
1994,771,married,60.0,38141.0,0.0,disagree
1994,774,married,35.0,117585.0,2.0,agree
1994,775,married,50.0,117585.0,1.0,disagree
1994,791,married,5.0,587.0,2.0,agree
1994,796,married,39.0,27872.0,4.0,disagree
1994,797,never married,45.0,117585.0,0.0,agree
1994,798,married,50.0,117585.0,3.0,agree
1994,808,divorced,45.0,44009.0,2.0,disagree
1994,812,married,40.0,79216.0,2.0,agree
1994,816,never married,40.0,32273.0,0.0,agree
1994,823,married,30.0,79216.0,4.0,strongly agree
1994,825,never married,45.0,64546.0,0.0,agree
1994,833,divorced,48.0,64546.0,2.0,agree
1994,834,married,36.0,32273.0,2.0,strongly agree
1994,837,married,50.0,22004.0,0.0,agree
1994,841,never married,36.0,8802.0,0.0,agree
1994,843,divorced,40.0,16137.0,0.0,disagree
1994,844,divorced,37.0,16137.0,1.0,agree
1994,846,married,20.0,4107.0,2.0,agree
1994,852,divorced,45.0,13203.0,1.0,strongly agree
1994,857,divorced,30.0,13203.0,1.0,strongly agree
1994,869,married,20.0,4107.0,1.0,neither agree nor disagree
1994,870,married,40.0,8802.0,2.0,neither agree nor disagree
1994,873,married,45.0,24938.0,2.0,disagree
1994,881,married,50.0,27872.0,3.0,agree
1994,883,divorced,40.0,22004.0,2.0,neither agree nor disagree
1994,887,divorced,38.0,32273.0,7.0,agree
1994,889,married,45.0,27872.0,1.0,agree
1994,890,married,45.0,52811.0,4.0,neither agree nor disagree
1994,893,divorced,60.0,32273.0,2.0,disagree
1994,895,never married,55.0,13203.0,0.0,disagree
1994,897,never married,35.0,22004.0,0.0,agree
1994,899,married,40.0,38141.0,2.0,agree
1994,902,divorced,60.0,44009.0,0.0,agree
1994,903,married,40.0,10562.0,0.0,neither agree nor disagree
1994,909,never married,40.0,44009.0,0.0,agree
1994,911,never married,47.0,24938.0,1.0,neither agree nor disagree
1994,913,divorced,60.0,27872.0,3.0,agree
1994,914,divorced,42.0,16137.0,0.0,agree
1994,916,never married,45.0,24938.0,0.0,neither agree nor disagree
1994,919,never married,31.0,13203.0,0.0,agree
1994,922,married,44.0,79216.0,2.0,agree
1994,924,never married,40.0,52811.0,0.0,strongly agree
1994,928,widowed,45.0,52811.0,3.0,agree
1994,930,separated,45.0,52811.0,1.0,neither agree nor disagree
1994,932,married,60.0,2347.0,2.0,strongly disagree
1994,933,married,40.0,2347.0,1.0,strongly disagree
1994,935,never married,40.0,22004.0,0.0,neither agree nor disagree
1994,936,never married,20.0,5281.0,2.0,neither agree nor disagree
1994,938,married,6.0,10562.0,2.0,agree
1994,939,married,52.0,44009.0,1.0,neither agree nor disagree
1994,940,married,50.0,24938.0,1.0,agree
1994,941,divorced,32.0,2347.0,5.0,strongly disagree
1994,948,married,40.0,44009.0,2.0,disagree
1994,961,never married,40.0,79216.0,0.0,neither agree nor disagree
1994,965,married,40.0,44009.0,2.0,agree
1994,967,divorced,60.0,16137.0,0.0,neither agree nor disagree
1994,969,married,40.0,79216.0,2.0,agree
1994,970,never married,35.0,13203.0,0.0,neither agree nor disagree
1994,984,never married,40.0,32273.0,0.0,strongly disagree
1994,986,married,50.0,44009.0,2.0,neither agree nor disagree
1994,992,married,70.0,64546.0,2.0,agree
1994,995,never married,40.0,19071.0,2.0,neither agree nor disagree
1994,999,married,40.0,32273.0,4.0,disagree
1994,1005,married,40.0,27872.0,2.0,disagree
1994,1007,never married,40.0,24938.0,0.0,neither agree nor disagree
1994,1010,married,65.0,117585.0,1.0,disagree
1994,1011,married,65.0,117585.0,4.0,agree
1994,1017,married,65.0,38141.0,4.0,disagree
1994,1026,widowed,45.0,19071.0,4.0,neither agree nor disagree
1994,1027,divorced,45.0,38141.0,1.0,strongly disagree
1994,1028,separated,48.0,64546.0,1.0,agree
1994,1034,married,40.0,16137.0,4.0,agree
1994,1036,married,60.0,27872.0,0.0,disagree
1994,1040,married,40.0,52811.0,2.0,strongly agree
1994,1045,never married,22.0,8802.0,0.0,agree
1994,1049,married,50.0,27872.0,1.0,agree
1994,1051,married,48.0,79216.0,0.0,agree
1994,1053,divorced,45.0,7628.0,1.0,neither agree nor disagree
1994,1057,married,40.0,117585.0,2.0,agree
1994,1059,married,89.0,64546.0,2.0,agree
1994,1060,never married,36.0,13203.0,0.0,strongly agree
1994,1062,never married,28.0,10562.0,0.0,strongly agree
1994,1064,never married,60.0,19071.0,0.0,disagree
1994,1068,divorced,40.0,24938.0,2.0,strongly agree
1994,1071,married,50.0,38141.0,2.0,disagree
1994,1076,divorced,40.0,32273.0,2.0,neither agree nor disagree
1994,1079,married,24.0,24938.0,1.0,agree
1994,1080,married,48.0,52811.0,2.0,agree
1994,1082,married,46.0,52811.0,2.0,neither agree nor disagree
1994,1087,never married,62.0,22004.0,0.0,disagree
1994,1088,divorced,48.0,16137.0,5.0,agree
1994,1091,married,60.0,24938.0,0.0,strongly disagree
1994,1093,married,36.0,64546.0,2.0,agree
1994,1095,divorced,40.0,22004.0,1.0,neither agree nor disagree
1994,1099,married,40.0,52811.0,3.0,agree
1994,1101,married,36.0,44009.0,1.0,disagree
1994,1113,separated,48.0,32273.0,2.0,neither agree nor disagree
1994,1114,married,36.0,38141.0,2.0,disagree
1994,1121,married,40.0,24938.0,0.0,neither agree nor disagree
1994,1126,widowed,41.0,32273.0,6.0,neither agree nor disagree
1994,1128,married,60.0,117585.0,1.0,neither agree nor disagree
1994,1129,divorced,32.0,32273.0,0.0,neither agree nor disagree
1994,1136,married,40.0,44009.0,1.0,agree
1994,1140,married,46.0,64546.0,2.0,agree
1994,1143,never married,40.0,64546.0,0.0,agree
1994,1145,divorced,35.0,52811.0,0.0,agree
1994,1153,divorced,38.0,19071.0,2.0,disagree
1994,1160,separated,45.0,16137.0,0.0,agree
1994,1161,divorced,38.0,22004.0,1.0,agree
1994,1165,married,40.0,44009.0,3.0,strongly agree
1994,1167,married,50.0,79216.0,5.0,agree
1994,1171,married,60.0,52811.0,2.0,agree
1994,1184,married,25.0,10562.0,2.0,disagree
1994,1190,divorced,40.0,19071.0,2.0,agree
1994,1191,separated,24.0,52811.0,1.0,strongly agree
1994,1195,divorced,40.0,32273.0,3.0,agree
1994,1197,never married,40.0,19071.0,0.0,agree
1994,1198,married,40.0,24938.0,3.0,agree
1994,1200,never married,40.0,52811.0,0.0,disagree
1994,1207,married,40.0,32273.0,1.0,neither agree nor disagree
1994,1209,married,40.0,32273.0,0.0,agree
1994,1210,married,40.0,27872.0,3.0,agree
1994,1216,married,54.0,64546.0,3.0,agree
1994,1217,widowed,40.0,24938.0,3.0,agree
1994,1222,married,24.0,27872.0,5.0,agree
1994,1223,married,40.0,52811.0,2.0,agree
1994,1229,never married,30.0,2347.0,0.0,agree
1994,1237,married,40.0,22004.0,1.0,agree
1994,1239,married,50.0,27872.0,1.0,agree
1994,1241,married,40.0,16137.0,3.0,disagree
1994,1248,married,22.0,10562.0,3.0,disagree
1994,1249,never married,45.0,52811.0,0.0,neither agree nor disagree
1994,1250,divorced,30.0,4107.0,0.0,neither agree nor disagree
1994,1251,married,55.0,19071.0,0.0,disagree
1994,1253,never married,30.0,16137.0,0.0,agree
1994,1255,married,41.0,5281.0,1.0,strongly agree
1994,1256,married,10.0,7628.0,1.0,agree
1994,1258,separated,40.0,6455.0,1.0,neither agree nor disagree
1994,1259,married,43.0,27872.0,0.0,neither agree nor disagree
1994,1260,married,48.0,22004.0,1.0,disagree
1994,1264,never married,20.0,8802.0,0.0,neither agree nor disagree
1994,1266,divorced,56.0,32273.0,1.0,strongly disagree
1994,1270,never married,40.0,19071.0,0.0,agree
1994,1279,married,40.0,19071.0,2.0,agree
1994,1281,married,58.0,44009.0,2.0,agree
1994,1282,married,40.0,44009.0,2.0,agree
1994,1284,married,50.0,64546.0,3.0,agree
1994,1285,married,40.0,38141.0,3.0,strongly agree
1994,1288,married,48.0,64546.0,3.0,neither agree nor disagree
1994,1293,divorced,52.0,16137.0,4.0,agree
1994,1295,married,50.0,52811.0,3.0,agree
1994,1299,divorced,40.0,44009.0,3.0,agree
1994,1304,married,40.0,32273.0,3.0,agree
1994,1309,divorced,40.0,10562.0,5.0,disagree
1994,1320,married,40.0,79216.0,5.0,neither agree nor disagree
1994,1323,married,32.0,8802.0,3.0,neither agree nor disagree
1994,1335,widowed,20.0,16137.0,2.0,neither agree nor disagree
1994,1343,never married,50.0,64546.0,0.0,neither agree nor disagree
1994,1349,married,40.0,32273.0,0.0,agree
1994,1350,never married,40.0,22004.0,1.0,agree
1994,1358,married,55.0,117585.0,3.0,disagree
1994,1360,widowed,40.0,117585.0,5.0,agree
1994,1363,divorced,40.0,117585.0,0.0,agree
1994,1364,married,70.0,117585.0,1.0,disagree
1994,1368,divorced,40.0,32273.0,1.0,agree
1994,1370,married,40.0,16137.0,2.0,agree
1994,1371,married,40.0,38141.0,0.0,agree
1994,1373,divorced,60.0,52811.0,3.0,agree
1994,1374,divorced,40.0,52811.0,1.0,agree
1994,1375,never married,52.0,24938.0,1.0,agree
1994,1382,divorced,38.0,7628.0,3.0,neither agree nor disagree
1994,1383,never married,40.0,32273.0,0.0,neither agree nor disagree
1994,1386,divorced,40.0,32273.0,1.0,agree
1994,1387,never married,50.0,32273.0,0.0,agree
1994,1389,divorced,20.0,10562.0,1.0,disagree
1994,1391,married,6.0,27872.0,3.0,agree
1994,1403,never married,48.0,38141.0,0.0,agree
1994,1407,married,40.0,32273.0,0.0,disagree
1994,1414,never married,45.0,587.0,0.0,neither agree nor disagree
1994,1421,married,40.0,22004.0,0.0,neither agree nor disagree
1994,1422,married,40.0,27872.0,2.0,agree
1994,1423,never married,42.0,27872.0,0.0,neither agree nor disagree
1994,1425,married,40.0,13203.0,0.0,strongly agree
1994,1426,married,40.0,13203.0,2.0,disagree
1994,1427,married,55.0,64546.0,3.0,agree
1994,1428,married,24.0,5281.0,8.0,disagree
1994,1432,never married,20.0,8802.0,0.0,strongly agree
1994,1433,married,50.0,19071.0,5.0,agree
1994,1434,married,10.0,10562.0,4.0,neither agree nor disagree
1994,1439,married,24.0,117585.0,4.0,neither agree nor disagree
1994,1440,divorced,40.0,38141.0,0.0,agree
1994,1442,married,35.0,13203.0,5.0,agree
1994,1443,never married,43.0,27872.0,0.0,neither agree nor disagree
1994,1448,married,66.0,38141.0,2.0,neither agree nor disagree
1994,1451,widowed,30.0,32273.0,2.0,agree
1994,1452,married,50.0,52811.0,1.0,agree
1994,1459,widowed,40.0,32273.0,0.0,strongly disagree
1994,1460,married,36.0,22004.0,1.0,disagree
1994,1465,divorced,56.0,38141.0,2.0,agree
1994,1466,married,40.0,27872.0,2.0,agree
1994,1469,married,40.0,24938.0,3.0,neither agree nor disagree
1994,1473,divorced,40.0,64546.0,4.0,disagree
1994,1474,married,60.0,64546.0,2.0,agree
1994,1476,never married,22.0,8802.0,1.0,strongly disagree
1994,1478,married,40.0,44009.0,3.0,agree
1994,1490,married,50.0,117585.0,5.0,agree
1994,1492,married,76.0,52811.0,2.0,disagree
1994,1493,divorced,37.0,19071.0,2.0,neither agree nor disagree
1994,1494,widowed,60.0,52811.0,0.0,disagree
1994,1495,divorced,35.0,16137.0,1.0,neither agree nor disagree
1994,1496,never married,35.0,8802.0,0.0,neither agree nor disagree
1994,1497,married,52.0,38141.0,2.0,agree
1994,1513,widowed,25.0,10562.0,2.0,agree
1994,1514,never married,70.0,38141.0,0.0,strongly disagree
1994,1522,married,8.0,13203.0,7.0,disagree
1994,1523,married,38.0,27872.0,3.0,agree
1994,1527,married,16.0,19071.0,0.0,strongly disagree
1994,1530,divorced,40.0,22004.0,2.0,agree
1994,1531,married,40.0,13203.0,0.0,neither agree nor disagree
1994,1532,married,40.0,38141.0,5.0,neither agree nor disagree
1994,1535,married,45.0,52811.0,0.0,agree
1994,1542,separated,28.0,587.0,2.0,neither agree nor disagree
1994,1547,never married,60.0,44009.0,0.0,agree
1994,1549,married,60.0,52811.0,0.0,agree
1994,1550,never married,40.0,22004.0,0.0,disagree
1994,1553,never married,40.0,22004.0,0.0,disagree
1994,1556,married,60.0,32273.0,2.0,agree
1994,1557,divorced,58.0,16137.0,2.0,agree
1994,1558,divorced,41.0,19071.0,3.0,disagree
1994,1559,married,40.0,19071.0,2.0,disagree
1994,1561,married,48.0,27872.0,2.0,agree
1994,1562,divorced,45.0,24938.0,1.0,disagree
1994,1565,married,45.0,38141.0,2.0,neither agree nor disagree
1994,1579,divorced,15.0,13203.0,3.0,agree
1994,1582,never married,56.0,27872.0,0.0,disagree
1994,1583,divorced,30.0,24938.0,1.0,neither agree nor disagree
1994,1588,married,40.0,32273.0,2.0,agree
1994,1591,divorced,40.0,32273.0,2.0,neither agree nor disagree
1994,1594,married,50.0,32273.0,0.0,agree
1994,1598,never married,60.0,5281.0,0.0,agree
1994,1599,married,40.0,38141.0,1.0,agree
1994,1601,married,26.0,587.0,4.0,strongly agree
1994,1605,divorced,45.0,22004.0,0.0,agree
1994,1607,never married,40.0,27872.0,0.0,disagree
1994,1608,divorced,40.0,4107.0,4.0,neither agree nor disagree
1994,1610,married,55.0,32273.0,3.0,disagree
1994,1614,married,45.0,24938.0,3.0,agree
1994,1616,married,80.0,32273.0,3.0,neither agree nor disagree
1994,1623,widowed,5.0,4107.0,3.0,disagree
1994,1624,divorced,50.0,16137.0,2.0,strongly agree
1994,1630,married,60.0,52811.0,2.0,agree
1994,1632,never married,40.0,52811.0,0.0,disagree
1994,1634,divorced,40.0,44009.0,1.0,agree
1994,1636,married,35.0,19071.0,4.0,agree
1994,1638,married,45.0,16137.0,1.0,neither agree nor disagree
1994,1639,never married,48.0,32273.0,0.0,strongly agree
1994,1644,married,45.0,32273.0,0.0,agree
1994,1647,separated,40.0,32273.0,1.0,neither agree nor disagree
1994,1654,married,80.0,19071.0,2.0,strongly agree
1994,1655,married,40.0,64546.0,1.0,strongly agree
1994,1663,married,50.0,32273.0,2.0,agree
1994,1667,divorced,25.0,13203.0,1.0,agree
1994,1670,married,40.0,7628.0,0.0,agree
1994,1672,married,50.0,19071.0,0.0,strongly agree
1994,1673,married,60.0,24938.0,2.0,agree
1994,1675,never married,39.0,27872.0,0.0,neither agree nor disagree
1994,1678,never married,16.0,2347.0,0.0,agree
1994,1684,married,40.0,22004.0,2.0,agree
1994,1687,married,40.0,38141.0,2.0,strongly agree
1994,1688,married,40.0,64546.0,3.0,disagree
1994,1703,married,43.0,27872.0,1.0,disagree
1994,1705,married,40.0,10562.0,2.0,strongly agree
1994,1710,married,70.0,19071.0,0.0,strongly agree
1994,1711,widowed,60.0,24938.0,2.0,neither agree nor disagree
1994,1713,married,55.0,64546.0,1.0,neither agree nor disagree
1994,1715,married,40.0,19071.0,1.0,disagree
1994,1717,never married,40.0,27872.0,1.0,agree
1994,1730,married,40.0,27872.0,5.0,disagree
1994,1731,married,45.0,16137.0,0.0,agree
1994,1739,divorced,40.0,27872.0,6.0,disagree
1994,1749,married,40.0,13203.0,3.0,agree
1994,1752,married,40.0,52811.0,1.0,agree
1994,1754,married,40.0,44009.0,3.0,disagree
1994,1755,married,40.0,13203.0,0.0,disagree
1994,1756,married,35.0,16137.0,3.0,agree
1994,1763,married,38.0,10562.0,2.0,agree
1994,1766,never married,43.0,13203.0,2.0,agree
1994,1768,married,48.0,27872.0,2.0,neither agree nor disagree
1994,1769,divorced,30.0,13203.0,4.0,agree
1994,1770,married,52.0,10562.0,1.0,agree
1994,1771,never married,40.0,24938.0,0.0,disagree
1994,1777,divorced,64.0,16137.0,2.0,agree
1994,1789,married,50.0,52811.0,2.0,agree
1994,1790,married,40.0,79216.0,2.0,agree
1994,1793,married,35.0,32273.0,0.0,agree
1994,1800,married,40.0,52811.0,3.0,agree
1994,1801,married,40.0,10562.0,1.0,disagree
1994,1804,never married,56.0,52811.0,0.0,disagree
1994,1805,married,40.0,38141.0,1.0,disagree
1994,1809,married,38.0,13203.0,2.0,disagree
1994,1814,never married,8.0,7628.0,0.0,agree
1994,1818,divorced,40.0,44009.0,0.0,disagree
1994,1819,separated,40.0,22004.0,2.0,strongly agree
1994,1829,married,40.0,117585.0,3.0,neither agree nor disagree
1994,1836,married,46.0,79216.0,3.0,agree
1994,1837,married,60.0,117585.0,4.0,agree
1994,1840,widowed,24.0,19071.0,2.0,agree
1994,1841,divorced,40.0,27872.0,2.0,agree
1994,1845,married,62.0,38141.0,2.0,agree
1994,1846,married,40.0,16137.0,0.0,disagree
1994,1848,never married,56.0,64546.0,0.0,agree
1994,1859,married,60.0,38141.0,0.0,disagree
1994,1869,never married,43.0,22004.0,0.0,agree
1994,1870,married,43.0,38141.0,4.0,agree
1994,1873,married,60.0,38141.0,0.0,neither agree nor disagree
1994,1878,married,40.0,13203.0,3.0,agree
1994,1880,never married,40.0,4107.0,0.0,agree
1994,1881,never married,30.0,10562.0,2.0,agree
1994,1885,married,50.0,13203.0,2.0,agree
1994,1889,married,58.0,16137.0,1.0,agree
1994,1891,married,40.0,19071.0,0.0,agree
1994,1892,divorced,52.0,7628.0,3.0,agree
1994,1895,married,40.0,52811.0,2.0,agree
1994,1898,married,36.0,10562.0,1.0,neither agree nor disagree
1994,1899,married,45.0,24938.0,4.0,neither agree nor disagree
1994,1900,never married,40.0,19071.0,0.0,neither agree nor disagree
1994,1906,married,40.0,44009.0,2.0,agree
1994,1908,married,44.0,38141.0,1.0,agree
1994,1910,married,56.0,32273.0,2.0,agree
1994,1916,never married,40.0,8802.0,1.0,agree
1994,1919,married,45.0,38141.0,1.0,neither agree nor disagree
1994,1922,married,40.0,27872.0,3.0,agree
1994,1925,married,40.0,38141.0,2.0,neither agree nor disagree
1994,1929,married,43.0,44009.0,2.0,agree
1994,1942,married,40.0,19071.0,2.0,agree
1994,1946,never married,10.0,19071.0,3.0,strongly agree
